                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7537,                 2.7673,                  1.881,                0.98097,                0.96683,                0.98691,                0.54655,                 1.4542,                 1.4479,                 1.8156,             0.00040008,             0.00040008,             0.00040008
                      2,                  1.371,                 1.0297,                  1.568,                0.68254,                0.84741,                0.74493,                0.39179,                 1.5096,                 1.2352,                 1.9241,             0.00080066,             0.00080066,             0.00080066
                      3,                 1.3905,                 0.8747,                 1.4979,                0.94176,                0.97957,                0.99003,                0.59064,                 1.4042,                0.89335,                 1.7221,              0.0011847,              0.0011847,              0.0011847
                      4,                 1.3298,                 0.8109,                  1.454,                0.94458,                0.96268,                0.98541,                 0.5927,                 1.2993,                0.81975,                 1.6628,              0.0015523,              0.0015523,              0.0015523
                      5,                 1.3291,                0.74404,                 1.4638,                0.83381,                0.96414,                0.98817,                0.61145,                  1.305,                0.84991,                  1.702,               0.001535,               0.001535,               0.001535
                      6,                 1.3415,                0.73434,                 1.4714,                0.93738,                0.91441,                0.97914,                0.57944,                 1.3651,                0.76927,                 1.6774,               0.001502,               0.001502,               0.001502
                      7,                 1.3025,                0.69498,                 1.4546,                 0.9953,                 0.9625,                0.99263,                0.63985,                 1.2923,                 0.5788,                 1.5823,               0.001469,               0.001469,               0.001469
                      8,                 1.2866,                0.70195,                 1.4468,                0.99332,                0.99373,                0.99495,                0.63596,                 1.2557,                0.56269,                 1.5803,               0.001436,               0.001436,               0.001436
                      9,                 1.2767,                0.69474,                 1.4422,                0.99045,                0.99101,                0.99482,                0.61817,                 1.2362,                0.54275,                 1.5529,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2459,                0.64999,                 1.3947,                0.99966,                0.99045,                0.99495,                0.64832,                 1.2531,                0.56496,                 1.5481,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2266,                0.62993,                 1.3926,                0.99247,                      1,                0.99392,                0.66377,                 1.1809,                0.50287,                 1.5075,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.221,                0.62657,                 1.4059,                0.95311,                0.98299,                0.98226,                0.66316,                 1.1995,                0.59629,                 1.4778,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2109,                0.60183,                 1.3635,                0.99956,                0.99987,                  0.995,                0.67012,                 1.1895,                0.48908,                  1.518,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2261,                0.61027,                 1.3938,                0.99883,                      1,                  0.995,                0.66051,                 1.2346,                0.51315,                  1.551,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2185,                 0.5888,                 1.3828,                0.98647,                0.98649,                0.99456,                0.68068,                 1.1914,                0.47636,                  1.481,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1838,                 0.5845,                 1.3715,                0.99936,                      1,                  0.995,                0.67397,                 1.1797,                0.45507,                 1.4783,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1795,                0.56648,                 1.3332,                0.99762,                      1,                  0.995,                0.67509,                 1.1966,                0.47981,                 1.4964,              0.0011389,              0.0011389,              0.0011389
                     18,                  1.191,                0.56789,                 1.3408,                0.98621,                0.99538,                0.99246,                0.64588,                 1.2672,                 0.5138,                 1.5509,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2084,                0.58169,                 1.3914,                0.99807,                      1,                  0.995,                0.67612,                 1.2053,                0.46591,                 1.5066,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.187,                0.54434,                 1.3725,                0.99981,                 0.9938,                  0.995,                0.67112,                 1.2229,                0.51429,                 1.4964,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1701,                0.54627,                 1.3549,                0.99843,                      1,                  0.995,                0.68631,                 1.1728,                0.45891,                 1.4727,              0.0010069,              0.0010069,              0.0010069
